(GPS) Geometrical Product Specification,geometrical product specification
know-how,know how
knowledge,knowledge
Knowledge,knowledge
Knowledge acquisition,knowledge acquisition
knowledge activated object generation,knowledge activated object generation
Knowledge and Data extraction,knowledge and data extraction
knowledge and information,knowledge and information
Knowledge assessing,knowledge assessing
Knowledge Assets,knowledge asset
Knowledge base,knowledge base
Knowledge based,knowledge based
knowledge based decision in engineering,knowledge based decision in engineering
Knowledge Based Engineering,knowledge based engineering
Knowledge based engineering,knowledge based engineering
Knowledge Based Engineering (KBE),knowledge based engineering
Knowledge based environment,knowledge based environment
Knowledge based framework,knowledge based framework
knowledge based product definition,knowledge based product definition
Knowledge based system,knowledge based system
Knowledge Based Systems,knowledge based system
Knowledge capitalization,knowledge capitalization
knowledge capture,knowledge capture
knowledge competencies,knowledge competency
Knowledge Configuration Management,knowledge configuration management
Knowledge construction,knowledge construction
Knowledge contexts in product definition,knowledge context in product definition
knowledge definition,knowledge definition
Knowledge Discovery,knowledge discovery
knowledge engineering,knowledge engineering
knowledge exchange,knowledge exchange
Knowledge explicitation,knowledge explicitation
knowledge extraction,knowledge extraction
knowledge flow,knowledge flow
knowledge flows,knowledge flow
knowledge framework,knowledge framework
knowledge fusion,knowledge fusion
Knowledge gap,knowledge gap
Knowledge graph,knowledge graph
knowledge integration,knowledge integration
Knowledge integration,knowledge integration
knowledge intensive environment,knowledge intensive environment
knowledge loss,knowledge loss
knowledge management,knowledge management
Knowledge Management (KM),knowledge management
Knowledge management (KM),knowledge management
Knowledge Management and Reuse,knowledge management and reuse
knowledge management in flexible supply networks,knowledge management in flexible supply network
knowledge management of product lifecycle,knowledge management of product lifecycle
knowledge management system,knowledge management system
Knowledge Management System (KMS),knowledge management system
knowledge management(KM),knowledge management
knowledge managment,knowledge management
knowledge modelling,knowledge modeling
Knowledge modelling,knowledge modeling
knowledge models,knowledge model
knowledge needs,knowledge need
knowledge provenance,knowledge provenance
Knowledge re-use,knowledge reuse
knowledge referential,knowledge referential
knowledge representation,knowledge representation
Knowledge representation,knowledge representation
Knowledge representation and definition,knowledge representation and definition
knowledge retrieval,knowledge retrieval
knowledge reuse,knowledge reuse
Knowledge service engineering,knowledge service engineering
knowledge sharing,knowledge sharing
Knowledge sharing,knowledge sharing
knowledge structures,knowledge structure
knowledge succession,knowledge succession
knowledge transfer,knowledge transfer
knowledge translation,knowledge translation
Knowledge transmission,knowledge transmission
Knowledge valorization,knowledge valorization
Knowledge-based design,knowledge based design
knowledge-based engineering,knowledge based engineering
Knowledge-Based Engineering,knowledge based engineering
Knowledge-based enterprises,knowledge based enterprises
Knowledge-Based frameworks,knowledge based framework
Knowledge-based processing,knowledge based processing
knowledge-based system,knowledge based system
knowledge-based systems,knowledge based system
Knowledge-on-demand,knowledge on demand
Lack of data,lack of data
Large building stocks,large building stocks
Laser Scanner,laser scanner
Laser welding,laser welding
Laser-cut sheet metal removal,lasercut sheet metal removal
Last mile vehicle,last mile vehicle
Layout,layout
Layout and visualization,layout and visualization
layout desgin,layout desgin
Lazy evaluation,lazy evaluation
LCA,lifecycle assessment
LCC,lifecycle cost
LCC (lifecycle cost),lifecycle cost
LCD,****
LCIA,lifecycle impact assessment
LCM,lifecycle management
LCS,lifecycle simulation
lead recovery,lead recovery
leaded glass,leaded glass
Leadership,leadership
leakage,leakage
lean,lean
Lean 4.0,lean 4.0
Lean Accounting,lean accounting
Lean concept,lean concept
Lean design,lean design
Lean engineering,lean engineering
Lean lifecycle integration,lean lifecycle integration
Lean lifecycle management,lean lifecycle management
lean management,lean management
Lean manufacturing,lean manufacturing
Lean philosophy,lean philosophy
lean PLM,lean product lifecycle management
lean principles,lean principle
lean product development,lean product development
lean production,lean production
lean service management,lean service management
Lean startup,lean startup
lean thinking,lean thinking
Lean tools,lean tools
Lean transformation,lean transformation
Learning and Serious Games,learning and serious game
Learning cloud services,learning cloud service
learning curve,learning curve
Learning ecosystem,learning ecosystem
Learning factory,learning factory
Learning Factory,learning factory
Learning Sciences,learning science
Learning-by-doing,learning by doing
lectures program,lecture program
Legacy Application,legacy application
legacy data,legacy data
Legacy users,legacy users
Legal domain,legal domain
Lego,LEGO
leisure boat production,leisure boat production
Leisure Boats,leisure boat
lens molding,lens molding
Lessons learned system,lessons learned system
Lessons Learned System,lessons learned system
levels of abstraction in PLM,level of abstraction in product lifecycle management
Liaison,liaison
Liaison Graph,liaison graph
library agents,library agent
License models,license models
Life cycle,lifecycle
life cycle analyse,lifecycle analysis
life cycle analysis,lifecycle analysis
life cycle assessment,lifecycle assessment
Life Cycle Assessment,lifecycle assessment
life cycle assessment,lifecycle assessment
Life Cycle Assessment (LCA),lifecycle assessment
life cycle commonality,lifecycle commonality
life cycle cost,lifecycle cost
Life Cycle Cost (LCC),lifecycle cost
life cycle costing,lifecycle costing
Life Cycle Costing,lifecycle costing
life cycle costs,lifecycle cost
Life Cycle Design,lifecycle design
Life Cycle Engineering,lifecycle engineering
life cycle impact assessment,lifecycle impact assessment
Life cycle inventory,lifecycle inventory
life cycle management,lifecycle management
Life cycle management,lifecycle management
Life Cycle Management Architecture,lifecycle management architecture
life cycle optimisation,lifecycle optimization
life cycle performance,lifecycle performance
Life Cycle Performances,lifecycle performance
Life Cycle Phases,lifecycle phase
Life cycle simulation,lifecycle simulation
Life Cycle Thinking,lifecycle thinking
life cycle view,lifecycle view
Life cycles,lifecycle
Life-cycle,lifecycle
Life-cycle assessment,lifecycle assessment
life-cycle engineering,lifecycle engineering
Life-cycle management,lifecycle management
Lifecycle,lifecycle
Lifecycle Analysis,lifecycle analysis
lifecycle applicable product model,lifecycle applicable product model
lifecycle assessment,lifecycle assessment
Lifecycle Costing,lifecycle costing
Lifecycle costs,lifecycle cost
lifecycle costs,lifecycle cost
Lifecycle Data,lifecycle data
lifecycle design,lifecycle design
Lifecycle engineering,lifecycle engineering
Lifecycle Engineering (LCE),lifecycle engineering
Lifecycle information flow,lifecycle information flow
Lifecycle Information Management,lifecycle information management
lifecycle management,lifecycle management
Lifecycle Management,lifecycle management
Lifecycle model,lifecycle model
lifecycle of collaborative exchanges,lifecycle of collaborative exchange
Lifecycle orientation,lifecycle orientation
lifecycle phases,lifecycle phase
lifecycle quality management,lifecycle quality management
Lifecycle simulation,lifecycle simulation
Lifecycle state,lifecycle state
Lifecycle Thinking,lifecycle thinking
Lifecycle Tool,lifecycle tool
lifecycle tool,lifecycle tool
lifecycle-based requirements,lifecycle based requirement
Lifestyle Eco-Design,lifestyle ecodesign
Lifetime design,lifetime design
light-weight representation,lightweight representation
lightweight data formats,lightweight data format
Lightweight solution,lightweight solution
lightweight visualisation,lightweight visualization
Limiting process,limiting process
Line Balancing,line balancing
Line Design,line design
linear manufacturing,linear manufacturing
linear programming,linear programming
linear regulators,linear regulator
Linked building data,linked building data
linked data,linked data
Linked engineering data,linked engineering data
Linkography,linkography
Links,link
liquefied natural gas,liquefied natural gas
Literature Review,literature review
Lithium-Ion Batteries,lithium ion battery
Living-Labs,living labs
LNG,liquified natural gas
LNG production,liquefied natural gas production
LNG transport,liquefied natural gas transport
load mapping,load mapping
Lock-in,lockin
locomotive performance,locomotive performance
"logical,",logical
logistics,logistics
logistics limitations,logistics limitation
logistics support,logistics support
long lasting products,long lasting product
long life cycle products,long lifecycle product
Long-term preservation,long term preservation
longevity of digital information,longevity of digital information
Lot Size One,lot size one
low carbon manufacturing,low carbon manufacturing
Low-temperature burn injury,low temperature burn injury
LSA,logistics support analysis
LSC,life support cost
LSTM,LSTM
LTF,lean transformation framework
Luxury industry,luxury industry
machine learning,machine learning
machine tool design,machine tool design
machine tool industry,machine tool industry
machine tools,machine tool
Machine vision,machine vision
Machinery sector,machinery sector
machining,machining
machining features,machining feature
Machining part,machining part
machining processes,machining process
machining processes simulation,machining processes simulation
Machining systems,machining system
Macro parametric,macro parametrics
macro-parametric,macro parametrics
macro-parametrics,macro parametrics
MAF,MAF
maintain event,maintain event
maintain status,maintain status
maintain status item,maintain status item
maintainability,maintainability
maintainability analysis,maintainability analysis
maintenance,maintenance
Maintenance,maintenance
maintenance and support,maintenance and support
Maintenance concepts,maintenance concept
Maintenance costs management,maintenance cost management
maintenance engineering,maintenance engineering
Maintenance engineering,maintenance engineering
maintenance management system,maintenance management system
Maintenance personalization,maintenance personalization
Maintenance Process Planning,maintenance process planning
maintenance repair overhaul,maintenance repair overhaul
maintenance scheduling,maintenance scheduling
Maintenance Service,maintenance service
"Maintenance, repair and overhaul",maintenance repair overhaul
"Maintenance, repair and overhaul (MRO)",maintenance repair overhaul
"maintenance, repair overhaul",maintenance repair overhaul
Malaysia,MALAYSIA
management,management
Management,management
Management decision making,management decision making
management information system,management information system
management of changes,change management
management policy,management policy
manipulation,manipulation
Manual assembly,manual assembly
Manufacturability,manufacturability
Manufacture Execution System,manufacture execution system
manufacturer instructions,manufacturer instruction
Manufacturer’s capabilities,manufacturer capabilities
manufacturers,manufacturer
manufacturing,manufacturing
Manufacturing best practices,manufacturing best practice
Manufacturing Bill Of Material,manufacturing bill of materials
Manufacturing company,manufacturing company
Manufacturing data,manufacturing data
manufacturing data structures,manufacturing data structure
manufacturing data structures,manufacturing data structure
Manufacturing design,manufacturing design
Manufacturing ecosystem,manufacturing ecosystem
manufacturing enterprises,manufacturing enterprise
Manufacturing execution,manufacturing execution
Manufacturing Execution System (MES),manufacturing execution system
Manufacturing Execution Systems,manufacturing execution system
Manufacturing Execution Systems (MES),manufacturing execution system
manufacturing facility management,manufacturing facility management
Manufacturing flow,manufacturing flow
manufacturing industry,manufacturing industry
Manufacturing information Management,manufacturing information management
Manufacturing Innovation,manufacturing innovation
Manufacturing integration,manufacturing integration
manufacturing knowledge,manufacturing knowledge
manufacturing knowledge sharing,manufacturing knowledge sharing
Manufacturing management data exchange,manufacturing management data exchange
Manufacturing modelling,manufacturing modelling
manufacturing ontologies,manufacturing ontology
manufacturing paradigm,manufacturing paradigm
Manufacturing planning,manufacturing planning
Manufacturing Platform,manufacturing platform
Manufacturing Problem Solving (MPS),manufacturing problem solving
Manufacturing process,manufacturing process
Manufacturing Process Management,manufacturing process management
Manufacturing process modelling,manufacturing process modelling
manufacturing process planning,manufacturing process planning
Manufacturing resource,manufacturing resource
manufacturing resources,manufacturing resource
manufacturing standards,manufacturing standard
manufacturing strategy,manufacturing strategy
Manufacturing System Engineering,manufacturing system engineering
Manufacturing systems,manufacturing system
Mapping,mapping
Mapping hub,mapping hub
Mapping study,mapping study
Marine,marine
Marine industry,marine industry
Maritime design,maritime design
Maritime Industry,maritime industry
market exclusivity,market exclusivity
Marketing,marketing
Markets,market
Markov,MARKOV
MAS,multi agent system
mass customization,mass customization
mass production,mass production
mass-customization,mass customization
massive academic exploration,massive academic exploration
Master data,master data
Master Geometry,master geometry
Master Geometry Creation,master geometry creation
Master Geometry Validation Workflow,master geometry validation workflow
Matching,matching
material characterization,material characterization
material flow,material flow
material flow analyse,material flow analysis
material flow analysis,material flow analysis
Material flow analysis (MFA),material flow analysis
Material flow cost allocation,material flow cost allocation
material flows,material flow
Material information,material information
Material Recovering Process,material recovering process
material recovery,material recovery
Material selection,material selection
material shortages,material shortage
mathematical solvers,mathematical solver
mathematical theory,mathematical theory
mathematics,mathematics
maturity,maturity
Maturity approaches,maturity approach
maturity assessment,maturity assessment
Maturity Levels,maturity level
maturity management,maturity management
Maturity model,maturity model
Maturity models,maturity model
MBD,model based definition
MBE,model based engineering
mBOM,manufacturing bill of materials
MBSE,model based system engineering 
MDA,model driven architecture
MDI approach,model driven interoperability approach
MDM,master data management
MDO (Multidisciplinary Design Optimization),multidisciplinary design optimization
MDS,multidimensional scaling
measure,measure
Measurement services,measurement service
mechanical assembly,mechanical assembly
Mechanical comfort,mechanical comfort
mechanical design,mechanical design
mechanical engineering,mechanical engineering
Mechanical Parameters,mechanical parameter
mechanical part assembly,mechanical assembly
mechanical parts,mechanical part
Mechanical process design,mechanical process design
Mechanical system design,mechanical system design
Mechatronic,mechatronic
Mechatronic design process,mechatronic design process
Mechatronic engineering,mechatronic engineering
Mechatronic product,mechatronic product
Mechatronic products development,mechatronic products development
mechatronic system,mechatronic system
Mechatronic system design,mechatronic system design
mechatronical function modeling,mechatronic function modeling
mechatronics,mechatronic
Mechatronics design,mechatronic design
Mechatronics system design,mechatronic system design
media product development,media product development
mediation system,mediation system
Mediator,mediator
Medical device development,medical device development
Medical Device Industry,medical device industry
MedTech,MEDTECH
meeting organising,meeting organising
Mehrkostenregelung (additional cost arrangement),additional cost arrangement
MEMORAe,MEMORAE
memory storage,memory storage
memory stores,memory storage
mental functions,mental function
mental models,mental model
Mereotopology,mereotopology
merge,merge
MES,manufacturing execution system
Mesh processing,mesh processing
meshes,mesh
Messaging standards,messaging standard
Meta data,metadata
meta model,meta model
Meta-model,meta model
meta-model,metamodel
Meta-modelisation,metamodelization
Meta-Product,meta product
Metadata,metadata
metadata models,metadata model
Metagraph,metagraph
metaknowledge ontology,metaknowledge ontology
metal additive manufacturing,metal additive manufacturing
Metallurgical equipment development,metallurgical equipment development
metamodel,metamodel
metamodelling,metamodeling
Metamodels,meta model
Method,method
methodology,methodology
Methodology,methodology
methods,method
methods and processes,method and process
Methods and Tools,method and tool
metrics,metrics
Metro map,metro map
Metrology,metrology
MFA,material flow analysis
MICMAC,MICMAC
Mid of Life Phase,middle of life
middle of life,middle of life
Middle of Life (MOL),middle of life
middle of life phase,middle of life phase
middle of lifecycle,middle of lifecycle
middle-of-life,middle of life
Middleware,middleware
migration,migration
milestone model,milestone model
military aircraft,military aircraft
Milling,milling
milling cutter,milling cutter
MIMOSA,MIMOSA
Mining Information System,mining information system
MIS,management information system
Mixed methodology,mixed methodology
Mixed reality,mixed reality
Mixed Reality (MR),mixed reality
MLM,mining lifecycle management
MNCs,multinational corporation
Mobile Agent,mobile agent
Mobile computing,mobile computing
Mobile design,mobile design
Mobile device feature,mobile device feature
Mobile manipulator,mobile manipulator
Mobility,mobility
Mock-up,mockup
modal analysis,modal analysis
model,model
Model,model
Model based automation in engineering,model based automation in engineering
Model Based Definition,model based definition
Model Based Engineering,model based engineering
Model based enterprise,model based enterprise
Model Based System Engineering,model based system engineering
Model Based Systems Engineering,model based system engineering
Model Based Testing,model based testing
Model comparison,model comparison
model decomposition,model decomposition
Model Drive Architecture,model drive architecture
Model Drive Engineer,model drive engineer
model driven architecture,model driven architecture
Model Driven Architecture,model driven architecture
Model Driven Architecture (MDA),model driven architecture
Model Driven Engineering,model driven engineering
Model Driven Engineering (MDE),model driven engineering
Model Lifecycle Management (MLM),model lifecycle management
Model management,model management
model mapping algorithm,model mapping algorithm
Model networks,model networks
model of higher education course,model of higher education
model potential customers,model potential customer
Model signatures,model signatures
model stages,model stage
Model Transfer Process,model transfer process
model transformations,model transformation
Model- based Engineering,model based engineering
Model- Driven Architecture,model driven architecture
model-based definition,model based definition
Model-Based Definition (MBD),model based definition
model-based design,model based design
model-based enterprise,model based enterprise
Model-based enterprise platform engineering,model based enterprise platform engineering
Model-Based Planning,model based planning
model-based product definition,model based product definition
Model-Based System Engineering,model based system engineering
Model-based systems engineering,model based system engineering
Model-based Systems Engineering (MBSE),model based system engineering
Model-Based Systems Engineering (MBSE),model based system engineering
model-based work instructions,model based work instruction
Model-Driven Architectures,model driven architecture
Model-Driven Interoperability,model driven interoperability
Model-driven ontology,model driven ontology
modelbased definition,model based definition
modeled object change management,modeled object change management
Modeling,modeling
modeling and simulation,modeling and simulation
Modeling and simulation,modeling and simulation
modeling of higher education,model of higher education
modelling,modeling
Modelling & Simulation,modeling and simulation
modelling and simulation,modeling and simulation
Modelling Engineering Design,modeling engineering design
Modelling Framework,modeling framework
models,model
Models,model
Models for Man-ufacturing,models for manufacturing
Models for Manufacturing,models for manufacturing
Models for Manufacturing (MfM),models for manufacturing
Models Transformations,model transformation
Modified Markov process,modified MARKOV process
Modular,modular
Modular approach,modular approach
Modular architecture,modular architecture
Modular Augmented Reality,modular augmented reality
Modular construction,modular construction
modular design,modular design
Modular IT integration,modular information technology integration
Modular product structures,modular product structures
modular production,modular production
Modular Products,modular product
Modular robotic,modular robotic
Modular services,modular service
modularisation,modularization
Modularisation,modularization
Modularity,modularity
Modularization,modularization
module design method,module design method
Module independence,module independence
moka,moka
MOL,middle of life
molding process,molding process
Monitoring systems,monitoring system
Monte-Carlo simulation,monte carlo simulation
morphing,morphing
motion capture,motion capture
motion generation,motion generation
motion planning,motion planning
Motion-structural simulation,motion structural simulation
Motivation,motivation
Motivational Interviewing,motivational interviewing
MQTT,MQTT
MRO,maintenance repair overhaul
MS HoloLens,HOLOLENS
MS Project,MS PROJECT
MTConnect,MTCONNECT
Multi Agent Systems (MAS),multi agent system
multi- resolution model,multi resolution model
Multi-Agent System,multi agent system
multi-agent systems,multi agent system
Multi-agent systems,multi agent system
Multi-Agents System,multi agent system
Multi-aspect,multi aspect
Multi-aspect ontology,mult iaspect ontology
multi-axis machining,multi axis machining
multi-criteria analysis,multi criteria analysis
multi-domain ontology,multi domain ontology
multi-domain system integration,multi domain system integration
multi-layer network,multi layer network
Multi-level approach,multi level approach
Multi-Life Products,multi life product
Multi-Lifecycle Management,multi lifecycle management
multi-linear regression modelling,multi linear regression modelling
multi-objective optimisation,multi objective optimization
Multi-objective optimization,multi objective optimization
Multi-party consensus building,multi party consensus building
Multi-party interaction,multi party interaction
Multi-scale modelling,multi scale modelling
Multi-sensor fusion,multi sensor fusion
Multi-sided market,multi sided market
multi-sources knowledge management,multi source knowledge management
Multi-Stage Production,multi stage production
Multi-touch,multi touch
multi-view,multiview
multi-view modeling,multiview modeling
multi-views,multiview
Multicriteria,multicriteria
multicriteria analysis,multicriteria analysis
Multicriteria decision making/analysis,multicriteria decision making and analysis
Multidimensional data,multidimensional data
multidimensional scaling,multidimensional scaling
Multidisciplinarity,multidisciplinarity
Multidisciplinary collaboration,multidisciplinary collaboration
multidisciplinary design,multidisciplinary design
Multidisciplinary design methodology,multidisciplinary design methodology
multidisciplinary engineering,multidisciplinary engineering
Multidisciplinary integration,multidisciplinary integration
multidisciplinary product,multidisciplinary product
multidisciplinary products,multidisciplinary product
Multidisciplinary simulation,multidisciplinary simulation
Multilevel Abstraction Based Self Adaptive Definition (MAAD),multilevel abstraction based self adaptive definition
Multilevel system,multilevel system
multilinear regression modelling,multilinear regression modeling
multilingual,multilingual
Multimodal data logging,multimodal data logging
multinational corporations,multinational corporation
Multiobjective optimization,multiobjective optimization
multiple case study,multiple case study
multiple contoured slices,multiple contoured slice
multiple domain matrix,multiple domain matrix
Multiple domains,multiple domain
Multiple Partners,multiple partner
multiple product modelling,multiple product modeling
multiple relationships,multiple relationship
Multiple viewpoints,multiple viewpoints
multiple views,multiple views
Multiple-attribute decision making,multiple attribute decision making
Multiple-Domain Matrices,multiple domain matrix
multivariant design,multivariant design
multiview,multiview
Museum,museum
MyWaste,MYWASTE
Nanosatellite,nanosatellite
natural language,natural language
Natural language processing,natural language processing
natural language query,natural language query
Natural language text,natural language text
Naval,naval
NC,numerical control
NC-Simulation,numerical control simulation
Negotiation,negotiation
Neo4J,NEO4J
NER,named entity recognition
Nested model,nested model
Net-Concern,net concern
Network Agent,network agent
network agents,network agent
network analysis,network analysis
Network Configuration,network configuration
Network design,network design
network efficiency,network efficiency
networked organization,networked organization
Networks,network
neural network,neural network
Neurodegenerative disorders,neurodegenerative disorders
Neuronal network,neuronal network
neuroscience,neuroscience
neutral data formats,neutral data format
Neutral File,neutral file
neutral file formats,neutral file format
Neutral Interchange File (NIF),neutral interchange file
neutral model,neutral model
neutral modelling command,neutral modelling command
neutral modelling commands,neutral modeling command
Neutral Schema,neutral schema
New Food Development,new food development
New Food Development (NFD),new food development
new foundations,new foundation
new foundations to geometry,new foundation to geometry
new Media in Engineering,new media in engineering
new product definition,new product definition
new product development,new product development
New product development,new product development
New Product Development (NPD),new product development
New product development (NPD),new product development
New Product Development performance,new product development performance
New Product Development strategies,new product development strategy
new product introduction,new product introduction
New Product Pilot Run,new product pilot run
New Space,new space
New Technology Based Enterprise,new technology based enterprise
new wave,new wave
Next Generation,next generation
NFD process performances,NFD process performances
NFF,no fault found
NGV,nozzle guide vane
Nigeria,NIGERIA
NLP,natural language processing
NMR spectroscopy,NMR spectroscopy
NOBM,non ownership business model
Non-availability,non availability
Non-Functional Requirements,non functional requirement
non-parametric statistical analysis,non parametric statistical analysis
nonlinear dynamic system,non linear dynamic system
Nonownership business model,nonownership business model
Notations,notation
Notification,notification
Novel Reman,novel reman
Novelty,novelty
nozzle guide vane,nozzle guide vane
NPD,new product development
NPD Process,new product development process
NPD projects,new product development project
NPDI,new product development and introduction
ntellectual Property,intellectual property
Nuclear decommissioning,nuclear decommissioning
nuclear energy,nuclear energy
nuclear industry,nuclear industry
nuclear power,nuclear power
nuclear power plant,nuclear power plant
Nuclear system,nuclear system
Numerical Simulation,numerical simulation
nx,NX
OAIS,open archival Information system
Object centric paradigm,object centric paradigm
object detection,object detection
object management,object management
object oriented modeling,object oriented modeling
object oriented modelling,object oriented modeling
Object technology,object technology
Object-centric information management,object centric information management
object-oriented,object oriented
object-oriented constraint networks,object oriented constraint network
Object-oriented modeling,object oriented modeling
object-oriented modelling,object oriented modeling
object-oriented programming,object oriented programming
object-oriented representation,object oriented representation
Object-Process Methodology,object process methodology
Objective controlled product feature definition,objective controlled product feature definition
objective initiated self modification of features,objective initiated self modification of feature
objective related knowledge driven product feature definition,objective related knowledge driven product feature definition
obsolescence,obsolescence
obsolescence management,obsolescence management
obstacle avoidance,obstacle avoidance
ocl,OCL
Octrees,octrees
Odoo,ODOO
OEM,original equipment manufacturer
OEM/Supplier Collaboration,original equipment manufacturer and supplier collaboration
OEMs,original equipment manufacturer
Offer Preparation,offer preparation
Office building,office building
Offline programming,offline programming
Offshore Wind Farm,offshore wind farm
OGSA,open grid services architecture
oil distribution transformers,oil distribution transformer
OKP,one of a kind Production
OMG,OMG
OMG PLM Services,OMG product lifecycle management service
Omni-channel marketing,omni channel marketing
One-of-a-kind company,one of a kind company
one-way-coupling,one way coupling
online learning,online learning
online platform,online platform
Online programming,online programming
online services,online service
online shopping,online shopping
Online trading,online trading
OntoClean,ONTOCLEAN
Ontological Assembly Model,ontological assembly model
Ontologies,ontology
ontology,ontology
ontology,ontology
Ontology,ontology
ontology alignment patterns,ontology alignment pattern
ontology and synchronisation modelling,ontology and synchronisation modelling
Ontology for Product-Process modelling (OPPM),ontology for product process modelling
Ontology graph,ontology graph
ontology management,ontology management
ontology mapping,ontology mapping
ontology matching,ontology matching
ontology models,ontology model
ontology web language,ontology web language
ontology-based data integration,ontology based data integration
Ontology-based data integration,ontology based data integration
Ontology-based decision support,ontology based decision support
Ontology-Based Engineering,ontology based engineering
Ontology-Based Engineering (OBE),ontology based engineering
Ontology.,ontology
OntoSTEP-NC,ONTOSTEP_NC
OPC,OPC
OPC UA,OPC UA
Open Application Group Integration Specification,open application group integration specification
open archival Information system,open archival Information system
Open Assembly Model,open assembly model
Open Control Systems,open control system
Open data spaces,open data spaces
open Industry framework,open industry framework
open innovation,open innovation
Open Innovation.,open innovation
open loops,open loop
open PLM,open product lifecycle management
open PLM systems,open product lifecycle management system
Open questions,open questions
Open Source,open source
open standards,open standard
open systems,open system
Open World,open world
Open-loop supply chains,open loop supply chains
Openness,openness
OpenPDM,open product data management
Operating Data,operating data
Operation and maintenance,operation and maintenance
Operation management,operation management
operational efficiency,operational efficiency
Operational integration,operational integration
operations,operation
operations management,operation management
Operations Management.,operation management
Operator training,operator training
Opinion aggregation,opinion aggregation
Opinion mining,opinion mining
Opitz coding system,OPITZ coding system
Opportunity analysis,opportunity analysis
Opportunity Evaluation,opportunity evaluation
optimal control,optimal control
Optimal facility layout,optimal facility layout
optimal solution,optimal solution
Optimal strategy,optimal strategy
Optimal Strategy,optimal strategy
optimisation,optimization
optimization,optimization
Optimization systems,optimization system
option valuation,option valuation
optoelectronic product,optoelectronic product
Order entry points,order entry point
Organisation,organization
Organisation Lifecycle,organization lifecycle
organisation models,organization model
organisational change,organizational change
organisational change management,organizational change management
organisational culture,organizational culture
organisational resources,organizational resource
organisational structure,organizational structure
organization,organization
organization design,organization design
Organizational Capability,organizational capability
organizational championship,organizational championship
Organizational change,organizational change
Organizational change innovation,organizational change innovation
Organizational Change Management,organizational change management
organizational innovation,organizational innovation
Organizational memory system,organizational memory system
Original Equipment Man- ufacturer (OEM),original equipment manufacturer
original equipment manufacturer,original equipment manufacturer
OSLC,open service for lifecycle
OST,OST
OTSM-TRIZ,OTSM TRIZ
outcome-based contracting,outcome based contracting
Outcome-based PSS,outcome based PSS
Outfitting,outfitting
Outfitting equipment,outfitting equipment
Outsourcing,outsourcing
overhaul,overhaul
Overview,overview
OWL,ontology web language
OWL 2,ontology web language
OWL description language,ontology web language description language
ozone layer depletion,ozone layer depletion
P2P,peer to peer
"P3R (product, process, plant and resource) data-driven modeling & simulation",product process plant and resource data driven modeling and simulation
PACE((R)),PACE
packaging industry,packaging industry
pairwise comparison matrices,pairwise comparison matrix
Panel block assembly shop,panel block assembly shop
Paperless engineering,paperless engineering
parallel distributed processing,parallel distributed processing
parallel Lifecycle Phases,parallel lifecycle phase
parallel model,parallel model
Parallel stations,parallel station
parallel structure,parallel structure
Parameter database,parameter database
Parameter Margin,parameter margin
Parameter optimization,parameter optimization
parameterising,parameterizing
parameters,parameter
parametric,parametric
Parametric ALT,parametric accelerated life testing
Parametric CAD efficiency,parametric computer aided design efficiency
Parametric design,parametric design
parametric feature,parametric feature
parametric features,parametric feature
parametric geometry,parametric geometry
Parametric modeling,parametric modeling
parametric modelling,parametric modeling
parametric programming,parametric programming
parametric translators,parametric translator
parametrics,parametric
Pareto rule,PARETO rule
Part agent,part agent
part failure,part failure
part families,part family
part management,part management
part reuse,part reuse
Part Usage,part usage
Part-of-speech,part of speech
partial least square,partial least square
Partial Least Square (PLS),partial least square
Partial least squares,partial least squares
participants,participant
participatory design,participatory design
Particle accelerators,particle accelerator
Partners network,partner network
Partnership,partnership
Parts Library Standardisation Initiative,parts library standardization initiative
parts management,parts management
passenger cars,passenger car
path planning,path planning
Patient,patient
Patient-specific device,patient specific device
pattern,pattern
pattern language,pattern language
pattern languages,pattern language
patterns,pattern
Pay per outcome,pay per outcome
Pay per use,pay per use
Pay-per-outcome,pay per outcome
Pay-per-output,pay per output
Pay-per-use,pay per use
Pay-per-X,pay per X
PBL,performance based logistics
PCA,principal components analysis
PCB,printed circuit board
PCB design,printed circuit board design
PCBs,printed circuit board
PDCA,PDCA
PDM,product data management
PDM (Product Data Management),product data management
PDM implementation,product data management implementation
PDM selection,product data management selection
PDM strategy,product data management strategy
PDM System,product data management system
PDM systems integration,product data management system integration
PDM(Product Data Management),product data management
PDM/PLM,product data and lifecycle management
PDM/SCM architecture,product data management and software configuration management architecture
PDMS,product data management system
PDP,product development process
PDX,product data exchange
pedagogical resources,pedagogical resource
peer to peer communication,peer to peer communication
Peer-Review,peer review
peer-to-peer,peer to peer
Peer-to-peer,peer to peer
PEID,product embedded information device
perception assessment,perception assessment
Perception-retrieval cognitive mechanism,perception retrieval cognitive mechanism
Perfect Product Launching,perfect product launching
performance,performance
Performance Assessment,performance assessment
performance degradation,performance degradation
Performance degradation assessment,performance degradation assessment
Performance degradation prediction,performance degradation prediction
performance evaluation,performance evaluation
performance evaluation and improvement,performance evaluation and improvement
performance indicators,performance indicator
performance inductors in design,performance inductor in design
Performance management,performance management
Performance Measurement,performance measurement
performance measures,performance measure
performance-based logistics,performance based logistics
Performing arts,performing arts
persistent naming,persistent naming
persistent naming problem,persistent naming problem
personal assistants,personal assistant
personalisation,personalization
Personalization,personalization
Pervasive Computing,pervasive computing
Petri Net,petri net
Peugeot,PEUGEOT
Pharmaceutical Industry,pharmaceutical industry
