Name;Name (normalized)
interface management;interface management
Interference;interference
Interference detection;interference detection
interfirm collaboration;interfirm collaboration
Interior construction;interior construction
Interior design;interior design
interior design;interior design
Interior design curriculum;interior design curriculum
Interior design pedagogy;interior design pedagogy
Interior modeling;interior modeling
Interior storage;interior storage
International code council;international code council
International green construction code;international green construction code
Internationalisation;internationalization
Internet;internet
Internet of Things;internet of thing
internship programs;internship program
Interoperability;interoperability
interoperability;interoperability
Inter-operability;interoperability
interorganizational process alignment;interorganizational process alignment
Interpreted information exchange;interpreted information exchange
Interviews;interview
Intimacy;intimacy
Inventory model;inventory model
Inverse kinematics;inverse kinematic
Investment decision;investment decision
Investment surveyors;investment surveyor
IPASS;intelligent productivity and safety system
Irregularly shaped building;irregularly shaped building
ISO 14067;ISO 14067
Isomorphic pressures;isomorphic pressure
ItÃ¡lica;italic
Iteration;iteration
J-graph;JGRAPH
J-Studio for Architectural Planning (J-SAP);JSAP
Job requirements;job requirement
Jobsite;jobsite
Jobsite cameras;jobsite camera
Just-In-Time;just in time
Kan;kan
KanBIM;kanBIM
Key factors for bim adoption;key factor for BIM adoption
Key performance indicator (KPI);key performance indicator
Key Performance Indicators (KPIs);key performance indicator
KPI;key performance indicator
Key performance indicators;key performance indicator
Keypoint-based texture recognition;keypoint based texture recognition
Keywords;keyword
Knotworking;knotworking
Knowledge;knowledge
Knowledge-based model;knowledge based model
Knowledge-based system;knowledge based system
Knowledge-based systems;knowledge based system
Knowledge based systems;knowledge based system
Knowledge competencies;knowledge competency
Knowledge flows;knowledge flow
Knowledge formalization;knowledge formalization
Knowledge management;knowledge management
knowledge management;knowledge management
Knowledge representation;knowledge representation
Knowledge Representation;knowledge representation
Knowledge specification;knowledge specification
Knowledge systems;knowledge system
Knowledge transfer;knowledge transfer
Knowledge tree;knowledge tree
Knowledge visualisation;knowledge visualization
Labor and personnel issues;labor and personnel issue
Labor Productivity;labor productivity
Labor productivity;labor productivity
Laboratory exercises;laboratory exercise
LADM;land administration domain model
Lagging and leading indicators;lagging and leading indicator
Land administration;land administration
Landfill;landfill
LandXML;landXML
Language Implementation;language implementation
Large-scale developments;large scale development
Large-space building;large space building
Lasers;laser
Laser Scan;laser scan
Laser scanner;laser scanner
Laser scanners;laser scanner
Laser scanning;laser scanning
laser scanning;laser scanning
laserscanning;laser scanning
Laserscanning;laser scanning
Laser scanning and surveying;laser scanning and surveying
Laser scanning emulator;laser scanning emulator
Last planner system;last planner system
last planner system;last planner system
Late Prehistory;late prehistory
Latent Semantic Analysis;latent semantic analysis
Latin hypercube sampling;latin hypercube sampling
Lattice girders (trusses);lattice girder trusse
Layout;layout
LCCA;lifecycle cost assessment
LCI DB;lifecycle inventory database
leadership;leadership
Leadership;leadership
Leadership in Energy and environmental Design (LEED);leadership in energy and environmental design
Leadership in energy and environmental design;leadership in energy and environmental design
LEED;leadership in energy and environmental design
Leadership in energy and environmental design (LEED);leadership in energy and environmental design
LEED Automation;LEED automation
LEED certification system and construction cost estimating;LEED certification system and construction cost estimating
LEEDÂ® rating;leadership in energy and environmental design rating
Lean construction;lean construction
lean construction;lean construction
Lean design;lean design
Lean efficiency gains;lean efficiency gain
Lean practice;lean practice
Learning;learning
Learning curve;learning curve
learning environment;learning environment
Learning modules;learning module
Learning objectives;learning objective
Learning process;learning process
Learning resources;learning resource
Leavitt systems model;leavitt system model
Legal;legal
legal issues;legal issue
Legal risks;legal risk
Legality checking;legality checking
Legality system;legality system
Leidos;LEIDOS
Lenses and filters;lense and filter
lessons learnt;lesson learnt
Level 2 BIM;level 2 BIM
Level of content (LOC);level of content
Levels of detail;level of detail
Level of detail impact;level of detail impact
Level of development;level of development
LOD;level of development
LoD;level of development
Level of development (LOD);level of development
Level of detail (LOD);level of development
LOD100;level of development 100
Liability;liability
Library;library
LID;low impact development
LID design;low impact development design
LiDAR;laser detection and ranging
LiDAR data;laser detection and ranging data
Lidar object recognition;laser detection and ranging object recognition
LiDAR sensors;laser detection and ranging sensor
Life cycle;lifecycle
Lifecycle;lifecycle
Life-cycle;lifecycle
lifecycle;lifecycle
life-cycle;lifecycle
Life cycles;lifecycle
Life cycle analysis;lifecycle analysis
Life-cycle approach;lifecycle approach
LCA;lifecycle assessment
Life cycle assessment;lifecycle assessment
Life Cycle Assessment;lifecycle assessment
Life-cycle assessment;lifecycle assessment
LCA (Life Cycle Assessment);lifecycle assessment
life cycle assessment (LCA);lifecycle assessment
Life cycle assessment (LCA);lifecycle assessment
LCCE life cycle carbon emission;lifecycle carbon emission
Life cycle CO2;lifecycle co2
LCC life cycle cost;lifecycle cost
Life cycle cost (LCC);lifecycle cost
Life cycle cost;lifecycle cost
Life cycle data management;lifecycle data management
Lifecycle Information Management;lifecycle information management
Lifecycle management;lifecycle management
Life-cycle management;lifecycle management
Life cycle Management System;lifecycle management system
Life cycle of architectural heritage;lifecycle of architectural heritage
Life cycle of construction project's informational model;lifecycle of construction project informational model
Life cycle of roads;lifecycle of road
Life-cycle performance measurement future;lifecycle performance measurement future
Life-cycle project;lifecycle project
Lifelong learning;lifelong learning
Lifelong learning imperative (LLI);lifelong learning imperative
Light-weight steel framing system;light weight steel framing system
Lighting;lighting
Lighting system;lighting system
Lightweight;lightweight
Likelihood;likelihood
Limit enforcement;limit enforcement
Line feature;line feature
Linear scheduling;linear scheduling
Linked Data;linked data
Linked data;linked data
Liquefied Natural Gas (LNG) industry;liquefied natural gas industry
Literature review;literature review
Living Building Challenge;living building challenge
Living building concept;living building concept
LNG;liquefied natural gas
LNG plants;liquefied natural gas plant
LNG storage tank;liquefied natural gas storage tank
Loads;load
Load ratings;load rating
Local context analysis (LCA);local context analysis 
Local ordinances;local ordinance
Location-based management;location based management
Location-based services;location based service
Location-constraint genetic algorithm;location constraint genetic algorithm
Location-sensing;location sensing
Logic rule;logic rule
Logicalization;logicalization
Logistics;logistic
Long span cable-stayed bridge;long span cable stayed bridge
Long-term performance;long term performance
Longitudinal survey;longitudinal survey
Low-carbon building;low carbon building
Low carbon buildings;low carbon building
low carbon buildings;low carbon building
Low carbon building design method;low carbon building design method
Low-carbon design;low carbon design
Low income housing;low income housing
Low-rise Residential;low rise residential
Machine learning;machine learning
machine vision;machine vision
Maintaining-information;maintaining information
Maintenance;maintenance
maintenance;maintenance
Maintenance and Inspection;maintenance and inspection
Maintenance management;maintenance management
Maintenance management system;maintenance management system
Major projects;major project
Making;making
Malaysia;MALAYSIA
Malaysia public sector;MALAYSIA public sector
Malaysian construction industry;malaysian construction industry
Malaysian IBS building;malaysian industrialised building system building
Management.;management
Management;management
Management mode;management mode
Management systems;management system
Managing-information;managing information
Manchuria style architecture;manchuria style architecture
Manual of Contract Documents for Highway Works;manual of contract document for highway work
Map-matching;map matching
Mapping;mapping
Mapping rule;mapping rule
MapReduce;MAPREDUCE
Markerless augmented reality;markerless augmented reality
Masonry structure;masonry structure
Mass concrete;mass concrete
Mass customization;mass customization
Mass customisation;mass customization
Mass data processing;mass data processing
Massive data rending;massive data rending
Master plan;master plan
Master specifications;master specification
Matching;matching
Materials;material
Material classification;material classification
Material logistics;material logistic
Material management;material management
Material property data;material property data
material recognition;material recognition
Material recognition;material recognition
material specification;material specification
Material tracking;material tracking
Matrix of the science of construction;matrix of the science of construction
Maturity;maturity
Maturity model;maturity model
Maturity models;maturity model
Maturity stages;maturity stage
Maximum likelihood estimation;maximum likelihood estimation
MCDM;multiple criteria decision making
MCHW;manual of contract documents for highway work
MD CAD model;multi dimensional CAD design model
Measurement;measurement
measurement;measurement
Mechanical;mechanical
Mechanical construction;mechanical construction
Mechanical electrical and plumbing (MEP) works;mechanical electrical and plumbing work
MEP;mechanical electrical plumbing
MEP coordination;mechanical electrical plumbing coordination
MEP Coordination;mechanical electrical plumbing coordination
MEP systems;mechanical electrical plumbing system
Mechanical engineering;mechanical engineering
Mechanical systems;mechanical system
Media synchronicity theory;media synchronicity theory
Medial axis transform;medial axis transform
medial axis transform;medial axis transform
Mega projects;mega project
Mega project;mega project
Megalithic architecture;megalithic architecture
Melaka world heritage site;melaka world heritage site
Memes;memes
Memory palace;memory palace
Mentor;mentor
Mesh processing;mesh processing
Meta data;meta data
Metadata encoding;metadata encoding
Metaheuristic;metaheuristic
Method of measurement;method of measurement
Metrics;metric
Micro energy grid;micro energy grid
Microscopic egress analysis;microscopic egress analysis
MicroStation;MICROSTATION
Middle-cost device;middle cost device
Middleware;middleware
Milling;milling
Mirror-aided scanning;mirror aided scanning
Mixed-integer programming;mixed integer programming
Mnemonic imagination;mnemonic imagination
Mobile application;mobile application
Mobile augmented reality (MAR);mobile augmented reality
Mobile augmented reality;mobile augmented reality
Mobile computing;mobile computing
Mobile content services;mobile content service
Mobile device;mobile device
Mobile laser scanning;mobile laser scanning
Mobile technology;mobile technology
Mobile web service;mobile web service
Mobility;mobility
Model;model
Models;model
Model-based design review;model based design review
Model-based fire scenario;model based fire scenario
Model-based recognition;model based recognition
Model-based simulations;model based simulation
Model Checking;model checking
Model checking;model checking
Model collaboration systems;model collaboration system
Model Conversion;model conversion
Model display technology;model display technology
Model-Driven Architectures;model driven architecture
Model-Driven Architecture;model driven architecture
model-driven engineering;model driven engineering
Model evolution;model evolution
Model information content;model information content
Model integration;model integration
Model mapping;model mapping
Model mappings;model mapping
Model progression;model progression
Model server;model server
Model Server;model server
Model translation;model translation
Model view definition;model view definition
Model View Definition;model view definition
Model View Definition (MVD);model view definition
Model view definition (MVD);model view definition
Model view definitions (MVD);model view definition
modeling;modeling
Modelling;modeling
Modeling;modeling
Modeling (BIM);modeling BIM
Modeling and simulation (M&S);modeling and simulation
Modeling effort;modeling effort
Modeling technique;modeling technique
Modeling workflow;modeling workflow
Moderators;moderator
Modern modelling in civil engineering;modern modeling in civil engineering
Modern selection criteria;modern selection criteria
Modernized Korean traditional buildings;modernized korean traditional building
Modular building;modular building
Modular construction;modular construction
Modular housing;modular housing
Modularity;modularity
Modularization;modularization
MOM;method of measurement
Monitor;monitor
Monitoring;monitoring
Monitoring At Any Time;monitoring at any time
Monitoring fault detection;monitoring fault detection
Monitoring system;monitoring system
Monte Carlo method;monte carlo method
morphogenetic architecture;morphogenetic architecture
Mortenson;MORTENSON
Motion;motion
Motivation;motivation
Mount Diablo High School;mount diablo high school
Multi-agent;multi agent
Multi attributes decision making;multi attribute decision making
multi-criteria analysis;multi criteria analysis
Multi-criteria decision analysis;multi criteria decision analysis
Multi criteria decision making;multi criteria decision making
Multi-criteria decision making;multi criteria decision making
Multi criteria decision making (MCDM);multi criteria decision making
Multi-criteria design optimization;multi criteria design optimization
multi-criteria evaluation;multi criteria evaluation
Multi-criteria optimization;multi criteria optimization
Multi-disciplinary collaboration;multi disciplinary collaboration
Multi-discipline;multi discipline
Multi-level framework;multi level framework
Multi-model;multi model
Multi-object optimization;multi object optimization
multi-object optimization;multi object optimization
Multi-objective optimization;multi objective optimization
Multi-scale;multi scale
Multi-screen environment;multi screen environment
Multiagent systems;multiagent system
Multidisciplinary design optimization(MDO);multidisciplinary design optimization
Multidisciplinary design optimization (MDO);multidisciplinary design optimization
multidisciplinary design optimization (MDO);multidisciplinary design optimization
Multidisciplinary integrated design;multidisciplinary integrated design
Multidisciplinary optimization;multidisciplinary optimization
Multidisciplinary teams;multidisciplinary team
multidisciplinary teams;multidisciplinary team
Multidisciplinary teamwork;multidisciplinary teamwork
Multimodal and media-rich integration;multimodal and media rich integration
Multimodal user interfaces;multimodal user interface
Multiobjective;multiobjective
Multiobjective optimization;multiobjective optimization
Multiple-view geometry;multiple view geometry
Multiple view geometry;multiple view geometry
Multipoint stretch forming;multipoint stretch forming
multiresolution inference;multiresolution inference
Multiscale simulations;multiscale simulation
Multivariable regression;multivariable regression
Museum;museum
Mutual belief model;mutual belief model
Mutual information;mutual information
MVD;model view definition
Mvdxml;model view definition XML
n-D modeling;nd modeling
NABERS;national australian building environmental rating standard 
Nano- to meter-scale building;nano to meter scale building
Nanorobotics;nanorobotic
Nanotechnology;nanotechnology
Nash bargaining solution;nash bargaining solution
National BIM Standard (NBIMS);NATIONAL BIM STANDARD
National BIM Standard;NATIONAL BIM STANDARD
NBIMS;NATIONAL BIM STANDARD
National geospatial database;national geospatial database
National institute of building sciences;national institute of building science
National standards;national standard
NATM tunnel;new austrian tunneling method tunnel
natural hazard;natural hazard
Natural language processing;natural language processing
Natural Language Processing;natural language processing
Natural ventilation;natural ventilation
Navigation models;navigation model
Navigation system;navigation system
Navisworks;NAVISWORKS
nD;nd
nD CAD;nd CAD
nD modelling;nd modeling
nD-simulation;nd simulation
Near misses;near miss
Net zero energy;net zero energy
The Netherlands;NETHERLANDS
Network analysis;network analysis
News;new
New construction industrialization;new construction industrialization
New England contractors;new england contractor
New paradigms;new paradigm
New zealand;new zealand
Nine stages nine aims;nine stage nine aim
Noise mapping;noise mapping
Non-linear analysis of concrete section;non linear analysis of concrete section
non-standardization;non standardization
NoSQL systems;no SQL system
NRM;new rules of measurement
nuclear accidents;nuclear accident
Numeric data of building circulation;numeric data of building circulation
Numerical control machining;numerical control machining
Numerical fire simulation;numerical fire simulation
NURBS;non uniform rational basis spline
O & M;O&M
Objects;object
Object-based;object based
Object model;object model
Object orientated workflows;object orientated workflows
Object-oriented;object oriented
Object-oriented modeling;object oriented modeling
Object-oriented physical modeling (OOPM);object oriented physical modeling
Object-oriented physical modeling;object oriented physical modeling
object-oriented physical modelling;object oriented physical modeling
Object-Oriented Physical Modeling (OOPM);object oriented physical modeling
Object-oriented programming;object oriented programming
Object recognition;object recognition
object recognition;object recognition
Object-relational database;object relational database
Object types;object type
Occupancy diversity;occupancy diversity
Occupational construction safety and health;occupational construction safety and health
Occupational indoor air quality;occupational indoor air quality
Off-site;off site
Ã–GNI/DGNB;austrian and german sustainable building council
OLAP System;online analytical processing system
Old residential reconstruction;old residential reconstruction
Older adult;older adult
Omega Institute for Holistic Studies;omega institute for holistic study
Omission;omission
OmniClass;OMNICLASS
On-site;on site
On-site construction robotics;on site construction robotic
On-site construction work;on site construction work
Ontology;ontology
ontology;ontology
Ontologies;ontology
Ontology change management;ontology change management
Ontology evolution;ontology evolution
ontology matching;ontology matching
ontology merging;ontology merging
Ontology modeling;ontology modeling
Open BIM;open BIM
OpenBIM;open BIM
Open-BIM;open BIM
Open Building Information Modeling (BIM);open building information modeling 
Open data;open data
Open data standards;open data standard
Open government;open government
Open Source;open source
Open standards;open standard
Openings;opening
Opening detection;opening detection
operating and maintenance costs;operating and maintenance cost
Operations;operation
Operations and maintenance;operation and maintenance
Operation and maintenance;operation and maintenance
Operations simulation;operation simulation
Operational carbon;operational carbon
Operational technical requirements;operational technical requirement
Optimization;optimization
Optimisation;optimization
optimization;optimization
Optimum insulation;optimum insulation
Optimum orientation;optimum orientation
Organizations;organization
Organization and process modeling;organization and process modeling
Organization structure and marketing;organization structure and marketing
Organisational architect;organizational architect
Organizational change;organizational change
organisational discontinuity theory;organizational discontinuity theory
Organizational Issues;organizational issue
Organizational learning;organizational learning
Organizational readiness;organizational readiness
Organizational strategy;organizational strategy
Organizational structure;organizational structure
Organizational transformation;organizational transformation
Orientation;orientation
Original time;original time
Ortho-Images;ortho image
Orthogonal design;orthogonal design
Outlook;outlook
Outrigger system;outrigger system
overheating;overheating
Overlay;overlay
OWL;ontology web language
Owners;owner
Owner;owner
OxBlue;OXBLUE
Panorama;panorama
Paradigm shift;paradigm shift
Parallel calculation;parallel calculation
Parallel process;parallel process
Parameters;parameter
parametrics;parametric
Parametric;parametric
Parametric BIM components;parametric BIM component
Parametric building information model;parametric building information model
Parametric Cost Estimate;parametric cost estimate
Parametric design;parametric design
parametric design;parametric design
And Parametric Design;parametric design
Parametric Design;parametric design
Parametric modelling;parametric modeling
Parametric modeling;parametric modeling
parametric modeling;parametric modeling
Parametric modeling methodology;parametric modeling methodology
parametric programming;parametric programming
Parametrization;parametrization
Pareto analysis;pareto analysis
Pareto Front;pareto front
partial least square;partial least square
Partial Least Square (PLS);partial least square
Partial models;partial model
partial models;partial model
Participant involvement;participant involvement
PSO particle swarm optimization;particle swarm optimization
Particle swarm optimization algorithm;particle swarm optimization algorithm
Partition walls;partition wall
Partnership;partnership
PAS 1192-2;PAS 1192 2
PAS 1192-3;PAS 1192 3
Passivhaus standard;passivhaus standard
path finding;path finding
Path object;path object
Path planning;path planning
Patterns;pattern
Pattern detection;pattern detection
Pattern matching;pattern matching
Pattern recognition;pattern recognition
Payment;payment
PC structure design;prefabricated concrete structure design
PCI design awards;precast concrete institute design award
Pedagogy;pedagogy
Pedestrian;pedestrian
pedestrian;pedestrian
Perceived ease of use;perceived ease of use
Perceived usefulness;perceived usefulness
Percent built as designed;percent built as designed
Percent built as planned;percent built as planned
Perception;perception
Performance;performance
performance analysis;performance analysis
Performance assessment;performance assessment
Performance assessment and improvement;performance assessment and improvement
Performance-based architectural design method;performance based architectural design method
Performance based building;performance based building
Performance-based design;performance based design
Performance Evaluation;performance evaluation
Performance evaluation;performance evaluation
performance gap;performance gap
Performance Management System (PMS);performance management system
Performance modelling;performance modeling
performance simulation;performance simulation
Peripheral regions;peripheral region
Personalisation;personalization
Photogrammetry;photogrammetry
Photograph management;photograph management
Photography;photography
PhotoSentinel;PHOTOSENTINEL
Photosynthetically active radiation;photosynthetically active radiation
Photovoltaic design software;photovoltaic design software
Pictographic instruction;pictographic instruction
pile foundation;pile foundation
pilot project;pilot project
Pilotptojekt;pilot project
Pipes & pipelines;pipe and pipeline
Pipe spool;pipe spool
Pipeline;pipeline
Piping support;piping support
Planning;planning
Planning and design;planning and design
Planning and management;planning and management
Planning & scheduling;planning and scheduling
Planning and scheduling;planning and scheduling
Planning, scheduling, and simulation;planning scheduling and simulation
Plant and equipment-resource allocation;plant and equipment resource allocation
Plasterwork;plasterwork
Platform as a Service;platform as a service
platform development;platform development
PLIM;project lifecycle information management
Plug-ins;plug in
Plumbing equipment;plumbing equipment
Plumbing Systems (MEP Systems);plumbing system mechanical electrical plumbing system
Plybamboo formwork;plybamboo formwork
PM concentration levels;particulate matter concentration level
Point clouds;point cloud
Point cloud;point cloud
Pointcloud;point cloud
Point Cloud;point cloud
Point-cloud;point cloud
Point of adoption;point of adoption
PointÂ cloud;point cloud
Polychromy;polychromy
Pose estimation;pose estimation
Post-combustion capture;post combustion capture
Post-earthquake responses;post earthquake response
post-nuclear;post nuclear
post-occupancy evaluation;post occupancy evaluation
Post-occupancy evaluation;post occupancy evaluation
post-occupancy evaluation (PoE);post occupancy evaluation
Post-project evaluation phase;post project evaluation phase
PPP;public private partnership
Practicability;practicability
Practices;practice
Practice;practice
Practitioner;practitioner
Pre-culling with CPU;pre culling with central processing unit
pre-made database;pre made database
Pre-performance;pre performance
pre-retrofitting;pre retrofitting
Precast concrete;precast concrete
Precast concrete elements;precast concrete element
Precast concrete element;precast concrete element
Precast construction projects;precast construction project
Precast facades;precast facade
Precast shop drawing generation;precast shop drawing generation
Precise design;precise design
Precision;precision
Predictability;predictability
Prediction model;prediction model
Prediction tool;prediction tool
Predictive modeling;predictive modeling
Predictors;predictor
Prefab;prefab
Prefab Housing;prefab housing
Prefabricated components;prefabricated component
Prefabricated concrete structure;prefabricated concrete structure
Prefabricated faÃ§ade;prefabricated facade
Prefabrication;prefabrication
Prefabrication housing production;prefabrication housing production
Preference criteria;preference criteria
Preliminary database framework;preliminary database framework
presetting;presetting
Prevention;prevention
Prevention through Design (PtD);prevention through design
prevention through design;prevention through design
Prevention through Design;prevention through design
Price adjustment;price adjustment
Pricing accuracy;pricing accuracy
principal-agency theory;principal agency theory
Principal-agent model;principal agent model
Principal-Agent theory;principal agent theory
Problem based learning;problem based learning
problem-based learning;problem based learning
Procedural modelling;procedural modeling
Process;process
Processes;process
Process-centric;process centric
Process design management system;process design management system
Process development;process development
Process improvement;process improvement
process integration;process integration
Process integration and design automation;process integration and design automation
process management;process management
Process map;process map
Process mapping;process mapping
process models;process model
Process model;process model
Process modelling;process modeling
Process modeling;process modeling
Process-oriented teaching;process oriented teaching
Process plant design;process plant design
Process re-engineering;process re engineering
Process simulation model;process simulation model
Process taxonomy;process taxonomy
Process visualization;process visualization
Processing;processing
Processing time;processing time
Procurement;procurement
Procurements;procurement
Procurement methods;procurement method
Product;product
Product architecture model;product architecture model
Product Catalogue;product catalogue
Product catalogs;product catalogue
product customization;product customization
Product data;product data
Product data interchange;product data interchange
Product data modeling;product data modeling
Product data technology;product data technology
Product families;product family
Product lifecycle management;product lifecycle management
PLM;product lifecycle management
Product model;product model
Product models IFC;product model IFC
Product modeling;product modeling
Product or process modeling;product or process modeling
Production control;production control
Production rate;production rate
Productivity;productivity
Productivity dynamics;productivity dynamic
Professional;professional
Professional personnel;professional personnel
Professional practice;professional practice
Professional services;professional service
professionalism;professionalism
Profiling;profiling
Programming;programming
Progress curves;progress curve
Progress management;progress management
Progress monitoring;progress monitoring
Progress tracking;progress tracking
Progressive point clouds;progressive point cloud
Project;project
project-based firm;project based firm
Project-based learning;project based learning
Project benefits;project benefit
Project communication;project communication
Project complexity;project complexity
Project control;project control
Project deliverables;project deliverable
Project documentation;project documentation
Project evaluation;project evaluation
Project financing;project financing
Project governance;project governance
Project information management;project information management
Project innovation;project innovation
Project integrated databases;project integrated database
Project life cycle;project lifecycle
Project life cycle management;project lifecycle management
Project management;project management
project management;project management
Project monitoring;project monitoring
project networks;project network
Project performance;project performance
Project planning;project planning
Project planning and design;project planning and design
Project scheduling;project scheduling
Project scheduling and management;project scheduling and management
Project settlement;project settlement
Project success;project success
Project teams;project team
Project team culture;project team culture
Project variant;project variant
Project webs;project web
Projector;projector
ProjectWise;PROJECTWISE
ProNIC;PRONIC
proofing;proofing
Property information;property information
Property marketing;property marketing
Prospect;prospect
Prospect theory;prospect theory
Protection and regeneration;protection and regeneration
protective methods;protective method
Protocol;protocol
Prototype;prototype
Prototypes;prototype
Prototype implementation;prototype implementation
Proximity and struck-by hazards;proximity and struck by hazard
Prozessmodelle;IGNORE
Pseudo point;pseudo point
Public buildings;public building
Public participation;public participation
Public procurement;public procurement
Public sector;public sector
Pull workflow;pull workflow
Purchasing maturity;purchasing maturity
Push system;push system
PV simulation;photovoltaic simulation
Qatar;QATAR
QFD house;quality function development
Qing Dynasty tea house;qing dynasty tea house
QR codes;quick response code
Quadrotor;quadrotor
Qualitative content analysis;qualitative content analysis
Qualitative methods;qualitative method
Quality;quality
Quality assessment;quality assessment
Quality check;quality check
Quality control;quality control
Quality elements;quality element
Quality function deployment (QFD);quality function deployment
Quality improvement;quality improvement
quality inspection;quality inspection
Quality inspection;quality inspection
Quality management;quality management
quality system;quality system
Quantification;quantification
Quantitative;quantitative
Quantitative analysis;quantitative analysis
Quantitative thermography;quantitative thermography
Quantity surveying;quantity surveying
Quantity surveyors;quantity surveyor
Quantity takeoffs;quantity takeoff
Quantity take-off;quantity takeoff
Quantity takeoff;quantity takeoff
Quantity Take-off (Estimation);quantity takeoff estimation
Quasi-rent;quasi rent
Query;query
Query expansion;query expansion
Query generation;query generation
Query Language;query language
Query mapping;query mapping
Quick connection systems;quick connection system
R-tree spatial index;RTREE spatial index
Radiance;radiance
Radio frequency;radio frequency
Radio frequency identification;radio frequency identification
RFID;radio frequency identification
Radio frequency identification (RFID);radio frequency identification
Radio Frequency Identification (RFID);radio frequency identification
RFID positioning;radio frequency identification positioning
RFID security;radio frequency identification security
Radio identification;radio identification
Rail;rail
Rail &;rail
Rail-cum-road bridge;rail cum road bridge
Railway;railway
Railway BIM design;railway BIM design
Railway engineering;railway engineering
Railway industry;railway industry
Railway location;railway location
Railway tunnel;railway tunnel
R&D strategy;research and development strategy
Random effects;random effect
Random Forest;random forest
RANSAC segmentation;RANSAC segmentation
Rating analysis;rating analysis
RC structure;reinforced concrete structure
RDF;resource description framework
Real estate;real estate
Real-estate;real estate
Real-time;real time
Real-time collaboration;real time collaboration
Real-time implementation;real time implementation
Real-time interaction;real time interaction
Real-time locating system (RTLS);real time locating system
Real-time location-sensing system;real time location sensing system
Real-time location system;real time location system
Real-time monitoring;real time monitoring
Real-time rendering;real time rendering
Real-Time Simulation;real time simulation
Real-time visualization;real time visualization
Realignment;realignment
Reasoning;reasoning
Recall;recall
Recognition;recognition
Reconstruction;reconstruction
Recruiting;recruiting
Recycling;recycling
Red team;red team
Reference ontology;reference ontology
Reflect;reflect
Refurbishment;refurbishment
Regional economy;regional economy
Regularity;regularity
Regularization;regularization
Regulatory compliance audit;regulatory compliance audit
Regulatory knowledge;regulatory knowledge
Residential homes;reidential home
Reinforced concrete;reinforced concrete
Reinforced concrete design;reinforced concrete design
Reinforced concrete reservoir;reinforced concrete reservoir
Relational data base;relational database
Relational database;relational database
Relational model;relational model
Relationship framework;relationship framework
Relationship modeling;relationship modeling
Reliability;reliability
reliability tests analysis;reliability test analysis
Relocation;relocation
Remanufacturing;remanufacturing
remodeling projects;remodeling project
Remote collaboration;remote collaboration
Remote monitoring;remote monitoring
Renewable energy;renewable energy
Renovation;renovation
Renovation strategy;renovation strategy
Repair;repair
Repetitive projects;repetitive project
Representation;representation
representation data;representation data
Req;ratio of equivalent transparency
Requests for information;request for information
Request for proposal (RFP);request for proposal
Requirement management;requirement management
Research;research
Research and delivery framework;research and delivery framework
research and development (R&D) investment;research and development investment
Research initiatives;research initiative
Research progress;research progress
Research trends;research trend
Residential blocks;residential block
Residential buildings;residential building
Residential Environment Improvement Program;residential environment improvement program
ResOp;RESOP
Resources;resource
Resource allocation;resource allocation
Resource efficiency;resource efficiency
Resource location tracking;resource location tracking
Resource location tracking and progress monitoring;resource location tracking and progress monitoring
Resource saving;resource saving
response and recovery;response and recovery
Response flexibility;response flexibility
REST;representational state transfer
Retrofit;retrofit
Retrofitting;retrofitting
Return on investment;return on investment
Return on investment (ROI);return on investment
Reuse;reuse
Reuse and recycling;reuse and recycling
Reverse engineering;reverse engineering
Review;review
Revit;REVIT
AutodeskÂ® revitÂ® 2013;REVIT
Revit add-in development;REVIT add in development
Revolutionizing;revolutionizing
Rework;rework
Rework time;rework time
RFI;request for information
RIBA Plan of Work 2013;royal institute of british architect plan of work 2013
RIM;road information modeling
RIM/LIM;role and lifecycle information model
Risk;risk
Risk analysis;risk analysis
Risk assessment;risk assessment
Risk breakdown structure (RBS);risk breakdown structure
Risk drivers;risk driver
risk early warning;risk early warning
risk identification;risk identification
risk management;risk management
Risk management;risk management
Risk Management;risk management
Risk of falling;risk of falling
Risk perception;risk perception
Risk reduction;risk reduction
Risk simulation;risk simulation
Road;road
Roads & highways;road and highway
Road construction machines;road construction machine
Road information modeling;road information modeling
Road information modeling (RIM);road information modeling
Road management;road management
roadmap;roadmap
Roadmap;roadmap
Roadmaps;roadmap
Robotics;robotic
Robotic total station;robotic total station
Roles and responsibilities;role and reponsibility
Role playing;role playing
RRR;rights restriction and responsibility
Rules;rule
Rules and regulations;rule and regulation
Rule-based;rule based
Rule-based checking;rule based checking
Rule-based system;rule based system
Rule checking;rule checking
Rules of thumb;rule of thumb
S-D logic;service dominant logic
SaaS;software as a service
safety;safety
Safety;safety
Safety analysis;safety analysis
Safety & hazards;safety and hazard
Safety and health;safety and health
Safety and risk management;safety and risk management
Safety best practices, regulations, rules and standards;safety best practice regulation rule and standard
Safety control;safety control
safety design and planning;safety design and planning
Safety level;safety level
Safety management;safety management
safety performance;safety performance
Safety planning;safety planning
Safety training;safety training
Sample courses;sample course
S&A;S&A
Scaffold system;scaffold system
Scaffolding;scaffolding
scan to BIM;scan to BIM
Scan-to-BIM;scan to BIM
Scan-vs-BIM;scan to BIM
Scan to BIM;scan to BIM
Scandinavian countries;scandinavian country
Scenario;scenario
scenario;scenario
Schedule;schedule
Schedule optimization;schedule optimization
Schedule overlap;schedule overlap
Schedule overlapping;schedule overlapping
Schedule overlapping ratio;schedule overlapping ratio
