name;harmonized keywords
innovative technologies;innovative technology
Innovative technologies;innovative technology
innovativeness;innovativeness
Input and output scaling;input and output scaling
Input-output analysis;input output analysis
I/O completion port;input output completion port
input–output model;input output model
input-output model;input output model
Insert greedy decoding algorithm;insert greedy decoding algorithm
Inside Keyword Guessing Attack;inside keyword guessing attack
insight matrix;insight matrix
Insourcing;insourcing
Inspection;inspection
inspection planning;inspection planning
Inspection system;inspection system
Instability behaviour;instability behaviour
Installation;installation
installed base migration;installed base migration
Instant messaging application architecture;instant messaging application architecture
Instant Messaging Application Architecture;instant messaging application architecture
Instantaneous angular speed;instantaneous angular speed
Instantaneous rotational axes;instantaneous rotational axe
Instantly deployable industrial agent system;instantly deployable industrial agent system
IEEE 1588;institute of electrical and electronics engineers 1588
IEEE 802;institute of electrical and electronics engineers 802
IEEE 802.11;institute of electrical and electronics engineers 802
IEEE 802.11ah;institute of electrical and electronics engineers 802
IEEE 802.15.4;institute of electrical and electronics engineers 802
IEEE 802.15.4 TSCH;institute of electrical and electronics engineers 802
IEEE 802.15.4e;institute of electrical and electronics engineers 802
IEEE 802.15.4e TSCH;institute of electrical and electronics engineers 802
IEEE 802.15.4-TSCH;institute of electrical and electronics engineers 802
IEEE802;institute of electrical and electronics engineers 802
IEEE802.15.4e;institute of electrical and electronics engineers 802
IEEE802.15.4e sensor networks;institute of electrical and electronics engineers 802 sensor network
IEEE802.15.4e Sensor Networks;institute of electrical and electronics engineers 802 sensor network
IEEE P2413 Standard Architectural Framework for the (IoT);institute of electrical and electronics engineers P2413
institutional context;institutional context
institutional economics;institutional economic
Institutional economics;institutional economic
institutional risks;institutional risk
institutes for manufacturing innovation;instituts for manufacturing innovation
instruction domain;instruction domain
instrument housings;instrument housing
Instrumented fixtures;instrumented fixture
Insulating glass's couple-warehouse;insulating glass's couple warehouse
Insulation mats;insulation mat
Intangibles;intangible
Integer programming;integer programming
integer programming;integer programming
integral linear programming (ILP);integral linear programming 
Integrated Cloud Management;integrated cloud management
Integrated cloud management;integrated cloud management
Integrated Computational Materials Engineering (ICME);integrated computational material engineering
Integrated design;integrated design
integrated design;integrated design
Integrated Design methods;integrated design method
Integrated development process;integrated development process
IEPE-type sensor;integrated electronics piezo electric type sensor
integrated engineering;integrated engineering
Integrated fabrication of macro/microstructures;integrated fabrication of macro microstructure
Integrated forecasting;integrated forecasting
integrated forecasting;integrated forecasting
Integrated framework;integrated framework
Integrated industry;integrated industry
Integrated Industry;integrated industry
Integrated management system;integrated management system
Integrated manufacturing;integrated manufacturing
integrated manufacturing of ceramic cores shell;integrated manufacturing of ceramic core shell
Integrated manufacturing performance index;integrated manufacturing performance index
Integrated manufacturing processes;integrated manufacturing process
integrated manufacturing systems;integrated manufacturing system
Integrated manufacturing systems;integrated manufacturing system
Integrated model;integrated model
Integratedmodel;integrated model
Integrated Modeling;integrated modeling
Integrated network;integrated network
Integrated planning (IPL);integrated planning 
Integrated plant control;integrated plant control
Integrated process planning and scheduling;integrated process planning and scheduling
Integrated product and process development;integrated product and process development
Integrated product development;integrated product development
Integrated Product Development;integrated product development
Integrated Product Development Process;integrated product development process
Integrated production;integrated production
integrated production management;integrated production management
integrated scenario;integrated scenario
Integrated scheduling;integrated scheduling
integrated services;integrated service
integrated system design;integrated system design
IVHM;integratedvehicle health management
integration;integration
Integration;integration
Integration among PDM/CAD/CAPP/CAM/MES;integration among product data management and computer aided design  and computer aided process planning and computer aided manufacturing and manufacturing execution system   
The Integration of Disciplines;integration of discipline
Integration of industrialization and informatization;integration of industrialization and informatization
integration of management systems;integration of management system
Integration of process planning and scheduling;integration of process planning and scheduling
integration of technology and finance;integration of technology and finance
integration strategy;integration strategy
Integrative model;integrative model
Integrative production technology;integrative production technology
Integrity;integrity
Intellectual capital;intellectual capital
intellectual property;intellectual property
Intellectual property;intellectual property
IPR;intellectual property
Intellectual property (IP);intellectual property 
IPPS;intellectual property protection strategy
Intellectual tradition;intellectual tradition
Intellectualization;intellectualization
Intelligence;intelligence
intelligence manufacturing;intelligence manufacturing
Intelligence manufacturing;intelligence manufacturing
Intelligent;intelligent
intelligent;intelligent
Intelligent Agents;intelligent agent
Intelligent agents;intelligent agent
intelligent alarm management;intelligent alarm management
Intelligent and flexible manufacturing;intelligent and flexible manufacturing
Intelligent and Flexible Manufacturing;intelligent and flexible manufacturing
Intelligent assembly agent;intelligent assembly agent
Intelligent assembly system;intelligent assembly system
Intelligent automation;intelligent automation
Intelligent brazing;intelligent brazing
Intelligent broad-cast;intelligent broad cast
Intelligent Building Management System (IBMS);intelligent building management system 
Intelligent CAD systems;intelligent computer aided design system
intelligent computing;intelligent computing
Intelligent connection;intelligent connection
Intelligent control;intelligent control
Intelligent Control;intelligent control
intelligent control;intelligent control
Intelligent control systems;intelligent control system
Intelligent cooperative spectrum sensing;intelligent cooperative spectrum sensing
intelligent decision;intelligent decision
Intelligent decision support systems;intelligent decision support system
Intelligent decision support systems in manufacturing;intelligent decision support system in manufacturing
Intelligent design;intelligent design
Intelligent Document;intelligent document
Intelligent Education;intelligent education
intelligent elderly care robots;intelligent elderly care robot
Intelligent energy estimation;intelligent energy estimation
Intelligent energy systems;intelligent energy system
Intelligent factories;intelligent factory
intelligent factories;intelligent factory
intelligent factory;intelligent factory
Intelligent Factory;intelligent factory
Intelligent feedback loop;intelligent feedback loop
Intelligent heat treatment;intelligent heat treatment
Intelligent indices;intelligent indice
Intelligent Industrial;intelligent industrial
I3Mote;intelligent industrila interent mote
Intelligent Knowledge Based Systems;intelligent knowledge based system
Intelligent knowledge-based systems;intelligent knowledge based system
Intelligent layout algorithm;intelligent layout algorithm
Intelligent learning;intelligent learning
Intelligent machinery;intelligent machinery
Intelligent machining;intelligent machining
intelligent machining;intelligent machining
Intelligent maintenance;intelligent maintenance
Intelligent manufacture;intelligent manufacture
Intelligent Manufacturing;intelligent manufacturing
Intelligent manufacturing;intelligent manufacturing
intelligent manufacturing;intelligent manufacturing
Intelligent manufacturing design;intelligent manufacturing design
Intelligent Manufacturing Enterprise;intelligent manufacturing enterprise
Intelligent manufacturing equipment;intelligent manufacturing equipment
intelligent manufacturing equipment;intelligent manufacturing equipment
intelligent manufacturing industry;intelligent manufacturing industry
Intelligent manufacturing industry;intelligent manufacturing industry
intelligent manufacturing modes;intelligent manufacturing mode
IMPs;intelligent manufacturing process
Intelligent Manufacturing Process;intelligent manufacturing process
Intelligent Manufacturing Resource;intelligent manufacturing resource
Intelligent Manufacturing Resoure Planning (MRPIII);intelligent manufacturing resoure planning
Intelligent manufacturing system;intelligent manufacturing system
Intelligent Manufacturing System;intelligent manufacturing system
intelligent manufacturing system;intelligent manufacturing system
Intelligent Manufacturing system;intelligent manufacturing system
Intelligent manufacturing system (IMS);intelligent manufacturing system
Intelligent Manufacturing System (IMS);intelligent manufacturing system
Intelligent manufacturing systems;intelligent manufacturing system
Intelligent Manufacturing Systems;intelligent manufacturing system
intelligent manufacturing systems;intelligent manufacturing system
Intelligent Manufaturing Systems;intelligent manufacturing system
IMS;intelligent manufacturing system
Ims;intelligent manufacturing system
IMS for Innovation;intelligent manufacturing system for innovation
in situ metrology;intelligent manufacturing system metrology
In situ simulation;intelligent manufacturing system simulation
intelligent manufacturing systems simulation;intelligent manufacturing system simulation
In situ resource utilization;intelligent manufacturing system utilization
intelligent material distribution system;intelligent material distribution system
Intelligent metallurgy;intelligent metallurgy
intelligent metrology;intelligent metrology
Intelligent model;intelligent model
Intelligent Model;intelligent model
Intelligent Monitoring;intelligent monitoring
Intelligent monitoring;intelligent monitoring
Intelligent negotiation;intelligent negotiation
intelligent negotiation;intelligent negotiation
intelligent oil wells control system;intelligent oil wells control system
Intelligent operation planning;intelligent operation planning
intelligent optimization;intelligent optimization
Intelligent part feeding;intelligent part feeding
Intelligent personal assistants;intelligent personal assistant
intelligent pharmaceutical manufacture;intelligent pharmaceutical manufacture
Intelligent plant;intelligent plant
intelligent process;intelligent process
Intelligent product;intelligent product
Intelligent Products;intelligent product
Intelligent product ecosystems;intelligent product ecosystem
Intelligent Production;intelligent production
Intelligent production logistics;intelligent production logistic
intelligent programming;intelligent programming
Intelligent pulp and paper industry;intelligent pulp and paper industry
Intelligent Research community;intelligent research community
intelligent resource unit;intelligent resource unit
Intelligent Robots;intelligent robot
Intelligent scheduling system;intelligent scheduling system
intelligent scheduling system;intelligent scheduling system
Intelligent sensing;intelligent sensing
Intelligent sensor nets;intelligent sensor net
Intelligent sewing machines;intelligent sewing machine
intelligent shop floors;intelligent shop floor
intelligent simulation;intelligent simulation
Intelligent spindles;intelligent spindles
Intelligent system;intelligent system
intelligent system;intelligent system
intelligent systems;intelligent system
Intelligent systems;intelligent system
intelligent technology;intelligent technology
Intelligent technology;intelligent technology
Intelligent transformation;intelligent transformation
Intelligent transport systems;intelligent transport system
Intelligent transportation;intelligent transportation
Intelligent transportation systems;intelligent transportation system
Intelligent user interface;intelligent user interface
Intelligent vibratory roller;intelligent vibratory roller
Intelligent Vibratory Roller;intelligent vibratory roller
Intelligent Video Analysis;intelligent video analysis
Intelligent vocal assistance;intelligent vocal assistance
intelligent warehouse simulation;intelligent warehouse simulation
Intelligent Web;intelligent web
Intelligent workshop;intelligent workshop
Intelligente Fabrik;intelligente fabrik
Intelligente Systeme;intelligente systeme
intelligentized manufacture;intelligentized manufacture
intelligent predictive maintenance (IPM);intelligentpredictive maintenance
Intense Pulse Light;intense pulse light
Intense pulsed light;intense pulse light
Intensification;intensification
Intent-Based Networks;intent based network
intention to use;intention to use
Intention to use;intention to use
inter-cognitive communication;inter cognitive communication
Inter-enterprise collaboration;inter enterprise collaboration
Inter-organizational trust;inter organizational trust
inter-text;inter text
interacting automata;interacting automata
Interaction;interaction
interaction;interaction
Interaction and fusion;interaction and fusion
Interaction design;interaction design
interaction design;interaction design
Interaction Design;interaction design
Interaction metaphors;interaction metaphor
Interaction model;interaction model
Interaction Techniques;interaction technique
Interactive analysis;interactive analysis
Interactive consensus analysis;interactive consensus analysis
Interactive control;interactive control
Interactive design;interactive design
Interactive instruction manuals;interactive instruction manual
Interactive production control;interactive production control
Interactive teaching;interactive teaching
Interactive workwear;interactive workwear
interactivity;interactivity
interactove projection system;interactove projection system
interconnection;interconnection
Interconnection;interconnection
Interconnectivity;interconnectivity
Interdependent criteria.;interdependent criteria
Interdependent relationships;interdependent relationship
interdisciplinarity;interdisciplinarity
interdisciplinary;interdisciplinary
Interdisciplinary;interdisciplinary
Interdisciplinary curriculum system;interdisciplinary curriculum system
Interdisciplinary technology applied;interdisciplinary technology applied
Interest;interest
Interest-Driven Creator (IDC) theory;interest driven creator theory
Interface;interface
interfaces;interface
Interfaces and interaction techniques;interface and interaction technique
interference;interference
interference detection;interference detection
interference fringe analysis;interference fringe analysis
Interference fringe analysis;interference fringe analysis
interference matrix;interference matrix
interferometer;interferometer
Interferometer;interferometer
interferometric null testing;interferometric null testing
interferometry;interferometry
Interior Design;interior design
Interleukin-10;interleukin
Interleukin-6;interleukin
Intermetallic;intermetallic
Intermetallics;intermetallic
internal;internal
internal and external communication;internal and external communication
Internal antenna;internal antenna
Internal circulation;internal circulation
IC engine;internal combustion engine
internal combustion engine;internal combustion engine
internal control;internal control
internal environmental collaboration;internal environmental collaboration
Internal environmental collaboration;internal environmental collaboration
internal integration;internal integration
Internal logistics;internal logistic
internal stresses;internal stress
Internal stresses;internal stress
international;international
international career;international career
international change;international change
International change;international change
ICME;international congress on mathematical education
international division of labour;international division of labour
International education;international education
IEC 61131;international electrotechnical commission 61131
IEC 61131-3;international electrotechnical commission 61131
IEC 61360;international electrotechnical commission 61360
IEC 61499;international electrotechnical commission 61499
IEC61499;international electrotechnical commission 61499
IEC-61499;international electrotechnical commission 61499
IEC 61499 Function Blocks;international electrotechnical commission 61499 function block
IEC 61508;international electrotechnical commission 61508
IEC 61800;international electrotechnical commission 61800
IEC 61800-7;international electrotechnical commission 61800
IEC 61850;international electrotechnical commission 61850
IEC61850;international electrotechnical commission 61850
IEC 62264;international electrotechnical commission 62264
IEC 62439;international electrotechnical commission 62439
IEC 62439-3-5;international electrotechnical commission 62439
IEC 62541;international electrotechnical commission 62541
IEC Standards;international electrotechnical commission standard
IE specialty;international electrotechnical specialty
International foresight;international foresight
IIoE;international Indian ocean expedition
International mobility in higher education;international mobility in higher education
International Organization for Standardization;international organization for standardization
ISO/TS16949;international organization for standardization
ISO 10303;international organization for standardization 10303
ISO 10303 STEP;international organization for standardization 10303
ISO 1101;international organization for standardization 1101
ISO 16355;international organization for standardization 16355
ISO 50.001;international organization for standardization 50
ISO9001:2015;international organization for standardization 9001
Iso-Geometric analysis;international organization for standardization geometric analysis
ISO GPS;international organization for standardization geometrical production specification 
ISO STEP;international organization for standardization STEP
ISA88;international society of automation  88
ISA-88;international society of automation  88
ISA95;international society of automation  95
Isa-95;international society of automation  95
ISA-95;international society of automation  95
ISA100.11a;international society of automation 100
International standards;international standard
International students in India;international student in India
International student satisfaction;international student satisfaction
ITER;international thermonuclear experimental reactor
internationalisation strategy;internationalisation strategy
internationalization;internationalization
Internet;internet
internet;internet
Internet +;internet
Internet+;internet
Internet-based control;internet based control
Internet-based solutions;internet based solution
IGMP;internet group management protocol
Internet information & technology;internet information and technology
Internet Information & Technology;internet information and technology
internet laboratories;internet laboratory
Internet laboratories;internet laboratory
Internet of Anything;internet of anything
Internet of Energy;internet of energy
Internet of Everything;internet of everything
IoE;internet of everything
Internet of knowledge;internet of knowledge
IO-Link wireless testing;internet of link wireless testing
Internet of makers (IoM);internet of maker
IoM 4.0;internet of manufacturing 4.0
Internet of manufacturing things;internet of manufacturing things
Internet of manufacturing things (IoMT);internet of manufacturing things
Internet of me;internet of me
Internet of people;internet of people
Internet of People;internet of people
Internet of services;internet of service
Internet of Services;internet of service
Internet of services (IoS);internet of service
Internet of services(IoS);internet of service
Internet-of-Services;internet of service
IoS;internet of service
‘internet of things’ (IoT);internet of things
and IoT;internet of things
internet of thing;internet of things
Internet of Thing (IoT);internet of things
Internet of things;internet of things
Internet of Things;internet of things
internet of things;internet of things
Internet Of Things;internet of things
Internet of Things (Ion);internet of things
Internet of Things (IoT);internet of things
Internet of things (IoT);internet of things
Internet of things (IOT);internet of things
Internet of things (IoT) power;internet of things
Internet of things (IoTs);internet of things
Internet of Things (IoTs);internet of things
Internet of Things (loT);internet of things
Internet of Tings (IoT);internet of things
Internet-ofthing;internet of things
internet-of-thing;internet of things
Internet-of-things;internet of things
Internet-Of-Things;internet of things
Internet-of-Things;internet of things
Internet-of-Things (IoT);internet of things
internnet of things;internet of things
IoT;internet of things
Iot;internet of things
IOT;internet of things
IoT (Internet of Things);internet of things
IoT (Internet of things);internet of things
IoT (Internet of Thngs);internet of things
IOT(internet of things);internet of things
loT;internet of things
LoT (Internet of Things);internet of things
Lot Completion;internet of things
The internet of things;internet of things
Iot attributes based authentication;internet of things  attribute based authentication
IoT attributes based authentication;internet of things  attribute based authentication
Internet of Things and Services;internet of things and service
IoT architecture;internet of things architecture 
Iot authentication;internet of things authentication
IoT authentication;internet of things authentication
IoT-based manufacturing;internet of things based manufacturing
IoT-based system;internet of things based system
IoT-cloud system;internet of things cloud system
Internet of Things Conference;internet of things conference
IoT Cyber physical system;internet of things cyber physical system
IoT-driven healthcare;internet of things driven healthcare
Internet of Things Framework;internet of things framwork
Internet-of-Things malware;internet of things malware
IoT ORiN;internet of things orin
Internet of things platforms;internet of things platform
Iot privacy-preserving;internet of things privacy preserving
IoT privacy-preserving;internet of things privacy preserving
IoT process;internet of things process
IoT protocols;internet of things protocol
IoT protocol roadmap;internet of things protocol roadmap
IoT-A Reference architecture;internet of things reference architecture
IoT software testing;internet of things software testing
IoT standardization;internet of things standardization
IoT-based supply chain;internet of things supply chain
Internet of tools;internet of tool
internet of trains;internet of train
Internet of trains;internet of train
Internet of users (IoU);internet of user 
Internet of Vehicles;internet of vehicle
Internet plus;internet plus
iPortal;internet portal
IP networks;internet protocol network
IPv6;internet protocol version 6
6L0WPAN;internet protocol version 6 over low power wireless personal area networks
6LoWPAN;internet protocol version 6 over low power wireless personal area networks
6TiSCH;internet protocol version 6 over the time slotted channel hopping mode of IEEE 802.15.4e
6Tisch;internet protocol version 6 over the time slotted channel hopping mode of IEEE 802.15.4e
6TiSCH architecture;internet protocol version 6 over the time slotted channel hopping mode of IEEE 802.15.4e architecture 
6TiSCH Architecture;internet protocol version 6 over the time slotted channel hopping mode of IEEE 802.15.4e architecture 
Internet solutions;internet solution
Internet technologies;internet technology
Internet/Web-Based Learning;internet web based learning
Internet/Web technologies;internet web technology
Internet's virtual brain;internet's virtual brain
internship;internship
internships;internship
Internships;internship
Internship Model;internship model
Interoperability;interoperability
interoperability;interoperability
Interoperability layer;interoperability layer
Interoperability of CPS;interoperability of cyber physical system
Interpolation;interpolation
Interpreter;interpreter
Interpretive structural modeling;interpretive structural modeling
Interpretive Structural Modeling;interpretive structural modeling
Interpretive Structural Modeling (ISM);interpretive structural modeling
Interpretive structural modelling;interpretive structural modeling
interpretive structural modelling (ISM);interpretive structural modeling
interreflections;interreflection
Interreflections;interreflection
Interval Call Center Arrivals;interval call center arrival
interval number;interval number
Interval number;interval number
Intervention program;intervention program
Interview;interview
Interviews;interview
interviews;interview
intra industry indices;intra industry indice
Intra-industry trade;intra industry trade
Intra logistics;intra logistic
Intra-logistic simulation;intra logistic simulation
Intraoral scanning;intraoral scanning
Intraoral scanning devices;intraoral scanning device
Intrinsic Motivation;intrinsic motivation
intrinsic safety;intrinsic safety
introduction to engineering;introduction to engineering
intrusion detection;intrusion detection
Intrusion detection system;intrusion detection system
Intuitionistic fuzzy TOPSIS;intuitionistic fuzzy 
intuitionistic fuzzy sets;intuitionistic fuzzy set
Invariant analysis;invariant analysis
invention kits;invention kit
Invention kits;invention kit
Inventors;inventor
Inventory control;inventory control
inverse-based control;inverse based control
Inverse engineering;inverse engineering
Inverse force function;inverse force function
Inverse homogenization;inverse homogenization
Inverse Kinematics;inverse kinematic
Inverse problem;inverse problem
Inverted spindle;inverted spindle
Investment;investment
investment;investment
investments;investment
Investment appraisal;investment appraisal
Investment branding;investment branding
investment casting;investment casting
Investment casting;investment casting
Investment in education;investment in education
investment in machine tools;investment in machine tool
Invisible mine;invisible mine
Involvement;involvement
Involvement in networks;involvement in network
Involvement in Networks;involvement in network
ion-cut process;ion cut process
Ion Implantation;ion implantation
ionic liquids;ionic liquid
IPG Photonics;IPG photonic
IPS2;IPS2 
IPsec;Ipsec 
IPSS;IPSS
IRCS Water;ircs water
Iron and steel industry;iron and steel industry
Iron determination;iron determination
Iron and steel enterprises;iron steel enterprise
Ironing;ironing
Irrigation;irrigation
ISM;ISM
Ispace;ispace
Issue 92;issue 
Issue tracking;issue tracking
Italy;Italy
iterative extended Kalman filter;iterative extended Kalman filter
Iterative learning control;iterative learning control
Iterative optimization;iterative optimization
ITMA 2015;ITMA 
JADE security;JADE security
Jan Dhan;Jan Dhan
Japan;Japan
Japanese electronics manufacturing industry;Japanese electronic manufacturing industry
JAVA;Java
Java;Java
Java EE;Java
Jaw;Jaw
Jaw relation record;jaw relation record
jaw types;jaw type
Jaw types;jaw type
Jel Classification: Z13;jel classification
Jet array failure;jet array failure
Jet dispensing;jet dispensing
Jet in crossflow;jet in crossflow
jet interaction phenomena;jet interaction phenomena
Jet interaction phenomena;jet interaction phenomena
Jet velocities;jet velocity
jewellery design;jewellery design
Jewellery design;jewellery design
Jewelry;jewelry
Jidoka;jidoka
JIT;jit
JIT implementation;jit implementation
job characteristics;job characteristic
job design;job design
Job Diagnostic Survey (JDS);job diagnostic survey
job enrichment;job enrichment
Job Profiles;job profil
Jobs proposal;job proposal
Job shop;job shop
Job Shop;job shop
Job-shop;job shop
Job shop scheduling;job shop scheduling
Job Shop Scheduling;job shop scheduling
Job-shop scheduling;job shop scheduling
job shop scheduling problem;job shop scheduling problem
job-shop scheduling problem;job shop scheduling problem
Job shop systems;job shop system
Johnson's Rule;Johnson's rule
Joining;joining
joining;joining
Joining of dissimilar metals;joining of dissimilar metal
Joint Infringement;joint infringement
Jointing technology;jointing technology
joule heating;joule heating
Journal;Journal
JSDAI (TM);JSDAI 
JSDAI™;JSDAI 
JSP scheduling;jsp scheduling
JSSP;JSSP
Jubatus;Jubatus
Just-in-sequence;just in sequence
just-in-time;just in time
Just-in-time;just in time
Just-in-Time;just in time
JITIR;just in time information retrieval
justification;justification
Justification and Classification;justification and classification
Justification technique;justification technique
Justification techniques;justification technique
K-L divergence;k l divergence
K-Means;k means
K-means clustering;k means clustering
k-means clustering;k means clustering
K-mediods;k mediod
KNN;k nearest neighbors
Kalman filter;kalman filter
Kalman filters;kalman filter
Kalman filtering;kalman filtering
Kalman-Filterung;kalman filterung
KANSEI;kansei 
Kansei engineering;kansei engineering
Karman differential equation system;Karman differential equation system
KDD;KDD
Kenaf;kenaf
Kenaf adaptation;kenaf adaptation
Kernel;kernel
Kernel enclave;kernel enclave
Kernel least mean square;kernel least mean square
kernel methods;kernel method
KET;ket
Kevin Ashton;kevin ashton
keys;key
Keys;key
key agreement;key agreement
Key developmental areas;key developmental areas
Key enabling technologies;key enabling technology
Key functional units;key functional units
Key industry;key industry
Key management;key management
Key Performance Indicator;key performance indicator
Key performance indicator;key performance indicator
key performance indicator;key performance indicator
Key performance indicators;key performance indicator
KPI;key performance indicator
Key slot;key slot
Key technologies;key technology
Key technology;key technology
key technology;key technology
key-value database;key value database
keyhole evolution;keyhole evolution
Keyhole evolution;keyhole evolution
Keyword search;keyword search
Kilntelligence;kilntelligence
Kilobots;kilobot
Kinect;kinect
kinect;kinect
Kinect 2 (TM);kinect
Kinect SDK;kinect
Kinematics;kinematic
Kinematic model;kinematic model
Kinematics analysis;kinematics analysis
Kinetic sculpture;kinetic sculpture
Kitting;kitting
Know-how;know how
knowledge;knowledge
Knowledge;knowledge
Knowledge acquisition;knowledge acquisition
Knowledge and competences;knowledge and competence
knowledge assimilation;knowledge assimilation
Knowledge base;knowledge base
Knowledge Base;knowledge base
knowledge base;knowledge base
Knowledge based best practice;knowledge based best practice
Knowledge-based Economy;knowledge based economy
knowledge-based manufacturing;knowledge based manufacturing
Knowledge-based manufacturing;knowledge based manufacturing
Knowledge-based process decision-making;knowledge based process decision making
Knowledge-based Process Decision-making;knowledge based process decision making
knowledge-based processing;knowledge based processing
Knowledge-based processing;knowledge based processing
Knowledge-based services;knowledge based service
Knowledge based system;knowledge based system
knowledge based systems;knowledge based system
Knowledge based systems;knowledge based system
Knowledge- Based Systems;knowledge based system
Knowledge-based system;knowledge based system
Knowledge-Based System;knowledge based system
Knowledge-based systems;knowledge based system
Knowledge-Based Systems;knowledge based system
knowledge-based systems;knowledge based system
knowledge-based view of the firm;knowledge based view of the firm
Knowledge-based view of the firm;knowledge based view of the firm
knowledge capacity;knowledge capacity
knowledge capitalization;knowledge capitalization
Knowledge capture;knowledge capture
Knowledge-defined networking (KDN);knowledge defined networking 
Knowledge discovery;knowledge discovery
Knowledge Discovery;knowledge discovery
knowledge discovery;knowledge discovery
knowledge discovery in databases;knowledge discovery in database
Knowledge Discovery System;knowledge discovery system
Knowledge-driven Architecture Composition;knowledge driven architecture composition
Knowledge driven systems;knowledge driven system
Knowledge Economy;knowledge economy
Knowledge economy;knowledge economy
knowledge economy;knowledge economy
knowledge engineering;knowledge engineering
Knowledge generation;knowledge generation
Knowledge Graphs;knowledge graph
Knowledge innovation;knowledge innovation
knowledge innovation;knowledge innovation
knowledge integration;knowledge integration
Knowledge Integration and Language Technologies;knowledge integration and language technology
Knowledge intensive enterprises;knowledge intensive enterprise
knowledge-intensive services;knowledge intensive service
Knowledge-intensive services;knowledge intensive service
knowledge learning;knowledge learning
Knowledge management;knowledge management
knowledge management;knowledge management
Knowledge Management;knowledge management
Knowledge management (KM);knowledge management
knowledge management new ventures;knowledge management new venture
Knowledge management semantic matching;Knowledge management semantic matching
Knowledge management system;knowledge management system
Knowledge Management systems;knowledge management system
knowledge mesh;knowledge mesh
knowledge mesh (KM);knowledge mesh
knowledge network;knowledge network
Knowledge network;knowledge network
Knowledge presentation;knowledge presentation
knowledge representation;knowledge representation
Knowledge representation;knowledge representation
Knowledge Representation;knowledge representation
Knowledge resources;knowledge resource
Knowledge reuse;knowledge reuse
Knowledge service;knowledge service
knowledge sharing;knowledge sharing
Knowledge transfer;knowledge transfer
knowledge transfer;knowledge transfer
Knowledge Transfer;knowledge transfer
knowledge work;knowledge work
Knowledge Worker;knowledge worker
Knowledgeable manufacturing system;knowledgeable manufacturing system
knowledgeable manufacturing system (KMS);knowledgeable manufacturing system 
Kohonen nets;kohonen net
Korea;Korea
Ku band;ku band
Ku-band;ku band
Kuzbass;Kuzbass
L60;l60
lab school;lab school
Lab school;lab school
Label character marking;label character marking
Labor;labor
labor market;labor market
Labor market;labor market
Labor reforms;labor reform
Laboratory;laboratory
Laboratory Computing/Interfacing;laboratory computing interfacing
Laboratory construction;laboratory construction
Laboratory Equipment/Apparatus;laboratory equipment apparatus
Laboratory Instruction;laboratory instruction
laboring capacity;laboring capacity
Labour;labour
Labour Intensive;labour intensive
Labour Law;labour law
Labour market;labour market
labour market;labour market
labour markets;labour market
Labour markets;labour market
LabVIEW;labview
LabVIEW programming;labview programming
LabVIEW software;labview software
LabView software;labview software
Lagrangian relaxation;lagrangian relaxation
Lambda architecture;lambda architecture
Lambda Architecture;lambda architecture
laminar;laminar
landers;lander
Landscape Theory;landscape theory
LARG-SC;larg scale
large aperture infrared optics;large aperture infrared optic
Large aperture infrared optics;large aperture infrared optic
Large Data Visualization;large data visualization
Large enterprise;large enterprise
Large Field of View (FOV);large field of view 
Large integral panel;large integral panel
large martensitic stainless steel castings;large martensitic stainless steel casting
Largemartensiticstainlesssteel castings;large martensitic stainless steel casting
large memory storage retrieval (LAMSTAR) neural network;large memory storage retrieval neural network
Large-scale fabrication;large scale fabrication
Large-scale metrology;large scale metrology
large-scale metrology;large scale metrology
large step height;large step height
Large step height;large step height
Large wheeled tractor;large wheeled tractor
Laser;laser
laser;laser
Lasers;laser
Laser ablation;laser ablation
Laser additive manufacturing;laser additive manufacturing
laser additive manufacturing technology;laser additive manufacturing technology
Laser additive manufacturing technology;laser additive manufacturing technology
Laser and electron beam melting;laser and electron beam melting
Laser assisted;laser assisted
Laser-based direct metal addition;laser based direct metal addition
Laser-based direct metal deposition;laser based direct metal deposition
Laser beam melting;laser beam melting
Laser cladding;laser cladding
laser cladding deposition technology;laser cladding deposition technology
Laser cladding deposition technology;laser cladding deposition technology
Laser cladding forming;laser cladding forming
laser cleaning;laser cleaning
Laser cleaning;laser cleaning
Laser crystals;laser crystal
Laser Cut;laser cut
laser cutting;laser cutting
Laser cutting;laser cutting
Laser diode;laser diode
laser direct patterning;laser direct patterning
Laser Direct Structuring;laser direct structuring
Laser Direct-Write;laser direct write
Laser doppler vibrometry;laser doppler vibrometry
Laser drilling;laser drilling
Laser engineered net shaping;laser engineered net shaping
Laser Engineered Net Shaping;laser engineered net shaping
Laser engineered net shaping (LENS (TM));laser engineered net shaping
Laser engineered net shaping (LENS);laser engineered net shaping
Laser engineered net shaping (LENS™);laser engineered net shaping
Laser forming;laser forming
Laser forward transfer;laser forward transfer
Laser interference lithography;laser interference lithography
laser interferometry;laser interferometry
Laser interferometry;laser interferometry
Laser manufacturing;laser manufacturing
laser market;laser market
laser marking;laser marking
laser materials modification;laser material modification
Laser materials processing;laser material processing
laser materials processing;laser material processing
Laser metal deposition;laser metal deposition
laser metal deposition;laser metal deposition
Laser metal deposition (LMD);laser metal deposition 
laser metal direct forming;laser metal direct forming
Laser micropore drilling;laser micropore drilling
Laser microprocessing;laser microprocessing
Laser nanofabrication;laser nanofabrication
laser optics;laser optic
Laser optics;laser optic
Laser patterning;laser patterning
